City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1,Georgetown,MY,77.0,moderate rain,5.41,100.34,Cititel Penang
12,Bathsheba,BB,77.0,few clouds,13.22,-59.52,Atlantis Hotel
15,Victoria,HK,87.01,light rain,22.29,114.16,Mini Hotel Central
16,Vila Velha,BR,75.99,clear sky,-20.33,-40.29,Hotel Vitória Palace
19,Montecristo,CO,75.15,broken clouds,8.3,-74.47,Hospedaje la reina
24,Hithadhoo,MV,82.56,broken clouds,-0.6,73.08,Scoop Guest House
27,Bengkulu,ID,83.84,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
30,San Miguel,SV,75.29,overcast clouds,13.48,-88.18,Excalibur
33,Muli,MV,82.53,broken clouds,2.92,73.57,Medhufushi Island Resort
41,Santa Rosa,PH,88.0,moderate rain,14.31,121.11,Erlyn’s Sta Rosa City Home
43,Laguna,US,80.6,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
46,Warri,NG,75.49,overcast clouds,5.52,5.75,BON Hotel Delta
48,Kismayo,SO,77.02,few clouds,-0.36,42.55,Agan-Hotel
49,Palasa,IN,86.04,broken clouds,18.77,84.42,Malla Krishana apartment
53,Sinnamary,GF,78.67,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
71,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
72,Baran,IN,87.21,scattered clouds,25.1,76.52,Hotel shri ji
77,Port-Gentil,GA,75.78,overcast clouds,-0.72,8.78,Fengshui Residence
78,Ibra,OM,81.91,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
85,Manadhoo,MV,82.4,overcast clouds,5.77,73.38,Vevu Guesthouse
99,Itarema,BR,77.34,clear sky,-2.92,-39.92,Windvillage
103,Puerto Colombia,CO,78.8,few clouds,10.99,-74.95,Hotel El Emigrante
111,Elizabeth City,US,75.2,moderate rain,36.29,-76.25,Hampton Inn Elizabeth City
112,Iquitos,PE,76.19,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
116,Baghdad,IQ,77.0,clear sky,33.34,44.4,Baghdad Hotel
118,La Palma,US,84.2,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
119,Kutum,SD,75.72,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
121,Mecca,SA,85.53,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
123,Bagotville,AU,75.2,scattered clouds,-28.98,153.42,Broadwater Sunrise Caravan Park
126,Sao Filipe,CV,79.65,clear sky,14.9,-24.5,Tortuga B&B
132,Monrovia,LR,76.23,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
138,Muscat,OM,78.8,clear sky,23.61,58.59,Mutrah Hotel
140,Ullal,IN,75.2,light rain,12.8,74.85,AK INTERNATIONAL LODGE
141,Gunjur,GM,77.0,scattered clouds,13.2,-16.73,Kuba Lodge
142,Bhanpuri,IN,84.31,overcast clouds,21.1,80.92,Bhandari Hotel
144,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
145,Odweyne,SO,75.54,clear sky,9.41,45.06,Eng Hiirey House
146,Doha,QA,88.0,clear sky,25.29,51.53,Doha Marriott Hotel
147,Nileshwar,IN,75.2,broken clouds,12.25,75.1,Neeleshwar Hermitage
151,Mamallapuram,IN,84.2,haze,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
156,Dingle,PH,81.68,overcast clouds,11.0,122.67,Camp Pasica
157,Madinat Sittah Uktubar,EG,77.0,few clouds,29.82,31.05,Happy Kennel Academy
160,Mahibadhoo,MV,82.45,broken clouds,3.78,72.97,Omadhoo Inn
162,Marawi,PH,84.99,overcast clouds,8.0,124.29,Derogongan Residence
163,Sao Gabriel Da Cachoeira,BR,76.68,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
170,Gidam,IN,83.61,broken clouds,18.98,81.4,Dhanshree Lodge And DormItory
176,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
