City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Saint-Augustin,CA,51.23,-58.65,41.86,62,19,7.25,few clouds
1,Georgetown,MY,5.41,100.34,77.0,94,40,3.36,moderate rain
2,Arraial Do Cabo,BR,-22.97,-42.03,71.6,88,0,9.17,clear sky
3,Hermanus,ZA,-34.42,19.23,53.83,80,14,4.92,few clouds
4,Bredasdorp,ZA,-34.53,20.04,44.6,93,19,1.12,few clouds
5,Qaanaaq,GL,77.48,-69.36,19.24,88,77,8.9,broken clouds
6,Ushuaia,AR,-54.8,-68.3,30.2,86,90,17.22,snow
7,Chicama,PE,-7.84,-79.15,61.43,80,62,5.32,broken clouds
8,Taoudenni,ML,22.68,-3.98,89.64,18,15,12.8,few clouds
9,Axim,GH,4.87,-2.24,74.05,89,85,6.06,overcast clouds
10,Atar,MR,20.52,-13.05,94.28,14,0,9.84,clear sky
11,Primorsk,UA,46.73,36.34,62.22,35,0,10.49,clear sky
12,Bathsheba,BB,13.22,-59.52,77.0,83,20,5.82,few clouds
13,Saint-Philippe,RE,-21.36,55.77,68.0,59,42,8.05,scattered clouds
14,Brigantine,US,39.41,-74.36,70.0,88,75,3.42,moderate rain
15,Victoria,HK,22.29,114.16,87.01,81,97,1.01,light rain
16,Vila Velha,BR,-20.33,-40.29,75.99,78,0,11.41,clear sky
17,Punta Arenas,CL,-53.15,-70.92,32.0,90,43,25.28,scattered clouds
18,Bambous Virieux,MU,-20.34,57.76,72.0,77,75,13.87,broken clouds
19,Montecristo,CO,8.3,-74.47,75.15,91,84,1.23,broken clouds
20,Dikson,RU,73.51,80.55,44.38,91,69,12.28,broken clouds
21,Cape Town,ZA,-33.93,18.42,48.2,93,3,2.24,mist
22,Mar Del Plata,AR,-38.0,-57.56,57.2,47,32,12.88,scattered clouds
23,Margate,GB,51.38,1.39,61.0,71,95,1.99,overcast clouds
24,Hithadhoo,MV,-0.6,73.08,82.56,78,69,9.24,broken clouds
25,Benguela,AO,-12.58,13.41,68.97,87,6,3.62,clear sky
26,Kyshtym,RU,55.71,60.55,42.91,80,78,7.61,broken clouds
27,Bengkulu,ID,-3.8,102.27,83.84,66,40,5.53,scattered clouds
28,Grand-Santi,GF,4.25,-54.38,73.45,96,14,2.35,few clouds
29,Sambava,MG,-14.27,50.17,67.64,86,58,8.77,broken clouds
30,San Miguel,SV,13.48,-88.18,75.29,92,99,1.97,overcast clouds
31,Trofors,NO,65.53,13.41,53.6,100,100,21.92,light rain
32,Havoysund,NO,71.0,24.66,44.6,75,20,26.4,few clouds
33,Muli,MV,2.92,73.57,82.53,77,73,9.37,broken clouds
